author;first trigram;second trigram;third trigram;fourth trigram;fifth trigram
SmellyModder;added hurt animation;;;;
japgolly;;;;;
SandeepSagarPanjala;api auth server;;;;
perryiv;checking for fewer;for fewer than;fewer than 2;than 2 radial;2 radial points
AliasIO;merge pull request;add orderonline app;added simbel ecommerce;simbel ecommerce application;pull request 2853
thomasmarsh16;;;;;
kojimaseiichi;;;;;
leandroMello9;reajuste no controller;;;;
vaclavsvejcar;;;;;
bartlettOne;set default user;default user role;user role but;role but with;but with a
lokhandwalayusuf;master merge with;merge with feature1;added feature a;feature 1 merge;1 merge with
geraldotakashikodaira;add files via;files via upload;;;
tcort;misc terminal settings;a timeout for;timeout for read;;
liruqi;partially convert from;convert from 20191220;from 20191220 stream13;;
cpretzer;signedoffby derrick burns;derrick burns derricktidepoolorg;update to new;to new version;new version of
aprilahijriyan;update to stable;to stable version;update version number;;
kinlane;;;;;
mswilson4040;add created date;created date to;date to chadwick;to chadwick user;
skullbe;merge pull request;pull request 2201;request 2201 from;2201 from attatuirkpatch88;from attatuirkpatch88 update
JCWardle;;;;;
happysimon123;;;;;
l1oret;add team factory;;;;
Armok628;add s and;s and fix;and fix numberchar;;
brl0;correct order of;order of dependencies;of dependencies for;dependencies for linter;correction to python
Cholive;changes to nav;to nav menu;nav menu on;menu on all;on all pages
Abakrii;components life cycle;life cycle hooks;exercise disabled button;;
keum;status for 12312019;for 12312019 044000;12312019 044000 pm;for 12312019 045000;12312019 045000 pm
sambeebe;;;;;
geoffrey4444;add quickstart guide;quickstart guide for;guide for vscodedocker;;
panex0845;add files via;files via upload;;;
bnaras;initial commit initial;commit initial commit;;;
a-schaefers;compton fix hacky;fix hacky build;;;
yaoye-docker;merge pull request;pull request 1;request 1 from;1 from yaoyedockerreadmeedits;from yaoyedockerreadmeedits readmeedits
bkinney91;update service file;service file for;file for new;for new device;
oralordos;ninja 13 ex;13 ex 2;;;
t7hm1;;;;;
FanzOfLenaZavaroni;;;;;
vkamra;address review comments;;;;
jldivemaster;setting up redux;;;;
ethanal;;;;;
rodrigo-brito;fixdoc ajustments in;ajustments in doc;in doc and;doc and parameters;
AidaIssayeva;;;;;
albrow;add workaround for;workaround for golangcilint;move code out;code out of;out of gopath
chuan12;;;;;
firasuke;;;;;
Propeus;pasta de documentação;added t obteratributotthis;where t attribute;alterado pasta de;merge pull request
kseetharam;;;;;
sanjeevm0;;;;;
kienchen;remove lock files;;;;
bartkoz;all tests pass;tests pass now;pass now added;now added missing;added missing tests
lfades;updated to support;to support single;support single page;single page integrations;removed the always
Turnip1234;merge branch master;branch master of;master of httpsgithubcomturnip1234mywebsite;;
ricki-z;;;;;
alice-wercker;canary commit at;commit at 20200101;at 20200101 004415482647882;20200101 004415482647882 0000;004415482647882 0000 utc
c-j-lh;merge branch master;branch master of;master of httpsgithubcomcjlhdotfiles;;
Dream-LC;site updated 20200101;updated 20200101 084320;;;
liujian-1993;;;;;
tiagoarchanjo;update indexhtml add;indexhtml add section;indexhtml add container;add container text;
e513131;;;;;
latent-info;regular uploading of;uploading of articles;;;
vocx-fc;display mode restore;declare getmdiview and;getmdiview and getmdiviewpage;and getmdiviewpage as;getmdiviewpage as const
jiwonnam;;;;;
yosifkit;add tls support;tls support in;support in 60;in 60 and;60 and unify
TylerSeiford;v002 still need;still need a;need a cap;a cap for;cap for the
binishmaharjan;merge pull request;creating new file;deleting signup view;adjustment to signupview;to signupview depedency
hmajid2301;rotating_light removed tslint;removed tslint removed;tslint removed tslint;removed tslint replaced;tslint replaced it
derg4;added prototype createrun;prototype createrun lobby;createrun lobby functionality;lobby functionality still;functionality still has
suryansh54;dashboard widgets grid;widgets grid drag;grid drag setup;;
IdrisQA;add test cases;test cases to;cases to get;to get todosid;
mbj;add unparserastlocalvariablescope mutant;unparserastlocalvariablescope mutant exclusion;fix yard warnings;merge pull request;fix readme badges
nestedsoftware;use eval on;eval on the;on the correct;the correct version;correct version of
stevenCsaunders;fixed js validation;js validation and;validation and error;and error styles;
allenyllee;;;;;
TobiasBriones;scripts that i;that i had;i had from;had from 2016;from 2016 added
seatacken;working on new;on new counter;new counter functionality;make function for;function for grph
Nora-Wang;summary of data;of data typespy;create 049 group;049 group anagramspy;update summary of
chrishenri;add download link;download link to;link to poster;to poster pdf;change poster preview
workspacedg;added vets list;vets list and;list and update;and update controller;update controller closes
Tandolf;added dagens pass;dagens pass number;pass number 42;;
alik604;;;;;
E-Alharbi;updatedremove files to;files to publish;to publish in;publish in maven;in maven repo
devanshkaria88;added like and;like and unlike;and unlike functions;unlike functions for;functions for posts
thamidurm;merge pull request;merge branch master;of httpsgithubcomgreatwhitesharkshrmsystem into;httpsgithubcomgreatwhitesharkshrmsystem into gihan;leave functions added
mklewandowski;improve image sizing;add tool to;tool to export;to export graph;export graph as
NickHolke;finished re seeding;re seeding postgres;;;
WENGE9;;;;;
dgrammatiko;master of githubcomdgrammatikoformally;merge branch master;branch master of;of githubcomdgrammatikoformally master;githubcomdgrammatikoformally master of
tkimia;fix issue where;issue where stops;where stops push;stops push things;push things off
Mostafa-ashraf19;;;;;
jonathantorres;changes on queue;on queue and;queue and stack;;
sorawee;evilscrollup and evilscrolldown;is supposed to;fix behavior of;behavior of evilscrollup;of evilscrollup and
masahide;change release actions;;;;
xSkullxNinja;separating the shield;the shield from;shield from the;from the health;the health of
erobertsdev;;;;;
asottile;fix ci flake8;ci flake8 errors;;;
LJNeon;improved esm support;create tostring functions;tostring functions for;functions for remaining;for remaining classes
BlackHacker511;;;;;
roblevintennis;stronger types for;types for checkboxinput;for checkboxinput also;checkboxinput also provides;also provides usage
rparramolina;defectos en tabla;;;;
akeahey;changing to just;to just home;just home races;fixing svg path;fixing text details
yeet648;update net version;;;;
ahmaazouzi;;;;;
enterstudio;fix packagejson yarnlock;packagejson yarnlock to;yarnlock to reduce;to reduce vulnerabilities;reduce vulnerabilities the
czhu2018;rollback version of;version of maven;of maven release;maven release plugin;
test987987;adding timestamp file;;;;
danielfromitaly;;;;;
gamesbykevin;commit by robot;;;;
jerry3904;update mxidesktool grammatical;mxidesktool grammatical corrections;;;
netdatabot;latest package build;package build process;build process trigger;debbuild latest package;rpmbuild latest package
gluxon;bump travis ci;travis ci rust;ci rust version;rust version to;version to 20191229
Alexandre-T;removing symfony 43;symfony 43 from;43 from test;using symfonyflex and;symfonyflex and symfony_require
pennyan;;;;;
Vertabreak;;;;;
sougou;tests fix panic;fix panic in;panic in vstreamer_test;in vstreamer_test fixes;vstreamer_test fixes 5636
MadelinePrins;fixing mqtt graphic;;;;
vvr-rao;;;;;
tonypdmtr;asm8 macro assembler;macro assembler manual;;;
ngonzo95;enabled the cors;the cors functionalitiy;cors functionalitiy and;functionalitiy and increased;and increased the
3141592654;split make code;make code prettier;code prettier in;prettier in general;in general into
chriswmackey;removing australia videos;australia videos from;videos from comming;from comming soon;
emilte;;;;;
Lukas34;added package metadata;merge branch master;branch master of;master of httpsgithubcomlukas34bulkdeleteblobs;
codefooo;;;;;
tommy605;git cloneshare commit;gas commit 12312019;commit 12312019 194441;commit 12312019 195027;
jaydonhashimoto;created basic login;;;;
pglen;added text to;text to speech;;;
jnm2;enable targets to;targets to recognize;to recognize net;assemblies instead of;instead of treating
microcai;appmiscnixnote bump new;bump new version;new version 215;baidupcsgo and baidunedisk;and baidunedisk version
caiobarretta;;;;;
isaiahnixon;;;;;
dheerajk345;updated index file;;;;
DavidBasarab;fixed for pack;;;;
houbinbin2;;;;;
flaatpixels;chore add to;add to the;to the readme;;
anvaka;;;;;
Coolghostgamer05;;;;;
deniseschannon;user is added;is added to;clusterrolebindings are created;if there is;any of the
jpickell;initial commit for;commit for zshrc;for zshrc and;zshrc and jkpzshtheme;updated path variable
sharkeydavid;;;;;
hwxjinghuijuan;;;;;
Dante19980224;planning to fix;to fix double;fix double render;gonna postpone this;postpone this one
phelps-matthew;saved by tiddlywiki;;;;
browneo;;;;;
stevenmburns;added a couple;a couple of;couple of more;of more lines;
DanielJEgan;corrected header comments;;;;
SousanCCloud;git cloneshare commit;;;;
bchoi12;;;;;
NDjust;add greedy 11399;greedy 11399 problem;runtime array memory;array memory error;
MrSloth13;okay so there;so there was;there was some;was some similarities;some similarities but
cykbennie;set theme jekyllthememinimal;;;;
tacotaco2;git cloneshare commit;;;;
wakaba;updated by anon;;;;
mkellsy;fix plugin alias;plugin alias and;alias and readme;and readme examples;
TNThacker2015;removed some mustard;;;;
eodccloud;git cloneshare commit;;;;
goyanx;;;;;
dani0001414;01 january 2020;cet idejű blyyy;idejű blyyy menetrend;blyyy menetrend változat;january 2020 014458
kilobyte;manpage fix being;fix being interpreted;being interpreted as;interpreted as a;as a troff
sc0tt5;accordion component to;component to sharedui;;;
rubber-duckie-au;added config for;config for xdn;add files via;files via upload;merge pull request
supertester00;git cloneshare commit;gas commit 12312019;commit 12312019 194459;commit 12312019 195726;
amakligo;;;;;
mengyuan29;from github for;github for gitnote;;;
ezuccarelli;implement stochastic gb;stochastic gb in;gb in fit;;
jjblues86;merge branch master;merge pull request;finished results page;branch master into;of httpsgithubcomjjblues86fingal into
geos4s;;;;;
EtivenKodi;git cloneshare commit;;;;
DoubleCouponDay;refactor removed unnecessary;removed unnecessary variable;;;
jimboca;;;;;
stelar7;replace syso with;syso with a;with a logger;;
Johndeer123;add files via;files via upload;;;
Bunny67;;;;;
galaxywormhole;gas commit 12312019;commit 12312019 194502;;;
supershell2019;;;;;
MultichartsScannerDataChecker;update black list;;;;
liesauer;;;;;
ramenfud;i have no;have no idea;no idea what;idea what im;what im doing
david-cohen;merge branch master;branch master of;master of httpsgithubcomdavidcohendiskspd;;
wendychiang;return empty data;empty data for;data for empty;for empty cache;refactorserialier return empty
supermobiteam2;;;;;
eao5xc;;;;;
thijs852;;;;;
llopez0814;git cloneshare commit;;;;
ericyueyi;add unit test;unit test for;for project creation;enable sorting of;sorting of documents
morrah;;;;;
gsandhucando;small css changes;pic change props;;;
scriptzteam;;;;;
victorfconti;;;;;
AlaaMoussawi;adding notebook for;notebook for getting;for getting intraday;getting intraday minute;intraday minute data
HenrikBengtsson;node status updates;status updates qstat;updates qstat f;qstat f qs;f qs ue
min-game;wed jan 1;jan 1 084501;1 084501 cst;084501 cst 2020;
aaronpk;logs as of;as of wed;of wed jan;wed jan 1;jan 1 004502
mococowboy;improved generation of;generation of months;of months and;months and added;and added some
gugod;;;;;
thomasyu888;add test for;test for create;for create teams;add in doc;in doc string
bluerob45;git cloneshare commit;;;;
rq1h55;;;;;
wilsson;docs readme add;readme add badges;featsvg add svg;add svg logo;svg logo and
sunbinbin1991;;;;;
liren2515;;;;;
gitavenue5;;;;;
jjn1056;docs updates and;updates and more;and more details;more details on;details on object
jonarbo;dalma load updated;load updated on;updated on wed;on wed jan;wed jan 1
kodiccloud100;git cloneshare commit;;;;
jdebacker;test boolean params;;;;
MlgmXyysd;mlgmxyysd github update;github update bot;update bot 1577839506;update bot 1577839807;update bot 1577840106
fh-automatron;add rhsso to;rhsso to update;to update products;update products list;
snoopycrimecop;merge master dorg;master dorg ssuccessonly;dorg ssuccessonly pr;already uptodate merged;uptodate merged prs
Helmasaur;readme update typographic;update typographic corrections;typographic corrections totals;corrections totals of;totals of messages
xanderflood;added an api;an api client;api client implementation;merge pull request;pull request 2
glinton;initialize plugins bucket;plugins bucket for;bucket for tests;;
GoSeungUks;;;;;
codeyarns;;;;;
HomoEfficio;update and rename;and rename git여러commit의author를바꾸는방법md;rename git여러commit의author를바꾸는방법md to;git여러commit의author를바꾸는방법md to git여러commit의author를바꾸는방법md;
ytsqkl;;;;;
enosysau;wed jan 1;jan 1 114506;1 114506 aedt;114506 aedt 2020;
jpace121;undo domain forwarding;domain forwarding ill;forwarding ill do;ill do some;do some research
GreatGitWall;;;;;
mattcarlotta;;;;;
sangsucki;;;;;
jonsterling;split semantic domain;changing grammar to;grammar to be;to be higher;be higher chi
jetzlstorfer;;;;;
disksing;;;;;
beyondtracks-bot;;;;;
aroller;master trying out;trying out releases;master bad bash;bad bash shebang;master git checkout
lesv;choredeps update dependency;update dependency comgoogleapiclientgoogleapiclient;dependency comgoogleapiclientgoogleapiclient to;comgoogleapiclientgoogleapiclient to v1307;to v1307 1916
adon0420023;git cloneshare commit;gas commit 12312019;commit 12312019 195726;;
AbelardoDV;;;;;
trivikr;chore remove legacy;remove legacy json;legacy json packages;json packages 605;
dboyd42;rm main fns;main fns tpl;fns tpl kept;tpl kept metadata;
brookcui;google 130 surrounded;130 surrounded regions;surrounded regions golang;regions golang httpsleetcodecomproblemssurroundedregions;google 769 max
SummerLife;;;;;
Istiyaq123;;;;;
wfz8023;;;;;
sbraigen;automatically backed up;backed up by;up by learn;;
CAM-Gerlach;;;;;
Dimbreath-Server;cn 191228080255e463c0 0851;;;;
srinidhiPY;;;;;
kamadas;update my databases;;;;
Conatrad;rock paper scissors;paper scissors game;scissors game in;game in browser;in browser console
colehollant;;;;;
Frontear;change the contract;the contract of;contract of iminecraftmod;of iminecraftmod i;iminecraftmod i dont
motikan2010-bot;auto update 20200101;update 20200101 094501;;;
maloymanna;test wo redirect;update readme test;readme test wo;update talks test;talks test wo
dotnet-maestro[bot];update dependencies from;dependencies from httpsdevazurecomdncenginternal_gitdotnetwpfint;from httpsdevazurecomdncenginternal_gitdotnetwpfint build;httpsdevazurecomdncenginternal_gitdotnetwpfint build 201912314;build 201912314 microsoftdotnetwpfdnceng
anouarbensaad;add places and;places and state;and state of;state of tunisia;of tunisia sort
fernando-mc;new book to;book to list;;;
GSMcNamara;;;;;
h1-the-swan;class autoreviewanalysis to;autoreviewanalysis to help;to help analyze;help analyze results;analyze results and
obiyankenobi;fixstratum invalid log;invalid log format;log format was;format was causing;was causing exception
stepanov-a;;;;;
xywang84;;;;;
jick155;fix aoi and;aoi and add;and add some;add some commit;some commit creat
ben0bi;show project from;project from deckel;from deckel in;deckel in vti;in vti main
newstools;created text for;text for url;for url nationaldailyngcomeuropaleaguedrawarsenaltofaceacmilaninroundof16;for url nationaldailyngcomnohopeinsightyetfornigeriaspowercrisis;for url nationaldailyngcom2019abadyearfornigerianssaysatiku
hegaajarad;;;;;
bunchley;fixed delete button;delete button bug;;;
roclar;added return of;return of heatran;;;
veganinthestreets;update mushroom jerky;mushroom jerky page;jerky page for;page for mobile;merge pull request
direwolf-github;;;;;
cdcasey;;;;;
ayyghost;remove faulty max_room_desc;faulty max_room_desc option;;;
nlog2n2;create ssid password;ssid password function;create saving qrcode;saving qrcode image;qrcode image function
gfw-breaker;;;;;
n15g;updated alignment to;alignment to any;to any after;any after verification;badge name after
twotonerebel3;merge branch master;branch master of;master of httpsgithubcomtwotonerebel3adventofcode2018;of httpsgithubcomtwotonerebel3adventofcode2018 day1;httpsgithubcomtwotonerebel3adventofcode2018 day1 finsihed
MarcLignarius;add code to;code to make;to make input;make input field;input field clear
fosterferret;changed font color;font color for;color for intro;for intro text;fixed font size
bbaassssiiee;;;;;
gfduszynski;;;;;
loveyunye;;;;;
AdetunjiShennaike;;;;;
adash333;modify gitignore for;gitignore for build;;;
sudoix;edit glance installation;add glance installation;;;
JarredParrettDickinson;;;;;
juanbecerra0;updated resume section;;;;
jermylucas;working through course;;;;
Deadpikle;show transparent color;transparent color with;color with border;with border and;border and strike
jarrodmillman;improve test coverage;;;;
Jean-Sim;;;;;
mapr-devops;by chris nauroth;chris nauroth gitsvnid;in changestxt gitsvnid;sandy ryza gitsvnid;contributed by chris
manwar;updated github commits;github commits section;commits section data;github commits summary;commits summary section
AbdurrahmanSefer;;;;;
wraith13;;;;;
Tonio1987;;;;;
alexw-gs;ci deployment from;deployment from job;from job alexstagingtobackupuserpermissionsactuala;;
Hyssopi;;;;;
scoffin-dev;setting mastery levels;indicate current mastery;current mastery level;mastery level on;level on both
Somfic;created new logo;;;;
wyldthing2;real initial commit;;;;
laiyenju;from 207 to;207 to 208;bump rack from;rack from 207;to 208 bumps
mateo4martinez;looks good so;good so far;so far quickly;far quickly defaulted;quickly defaulted the
homebysix;add files via;files via upload;fixes for broken;for broken via;broken via download
helixbass;;;;;
outofcoffee;improves documentation and;documentation and examples;;;
sajattack;;;;;
mertyildiran;add a pull;a pull request;pull request template;;
5HT;typo builsing building;;;;
Chazza;gitbook master 2;master 2 pages;2 pages modified;gitbook master one;master one page
Deep4569;contact and about;and about updated;;;
Xapphire13;move client styles;client styles to;styles to indexhtml;make remote url;remote url optional
Jian-99;;;;;
spaperftest;5733 to 5734;5734 to 5735;5735 to 5736;;
neilprado;modificando relacionamento para;relacionamento para nn;para nn com;nn com classe;com classe de
MichaelBelousov;first half of;half of untested;of untested boat;untested boat physics;completed untested base
zeit-github-tester[bot];;;;;
gliwka;from 084 to;084 to 085;signedoffby dependabotpreviewbot supportdependabotcom;from 310 to;310 to 321
KTibow;;;;;
mransan;add bsocamlprotocjson as;bsocamlprotocjson as a;as a git;a git module;
92fueler;update 02 open;02 open closed;open closed principlejs;;
hax-mov;;;;;
robertchou91;merge pull request;pull request 2;request 2 from;2 from robertchou91test;from robertchou91test update
PowershellScripts;;;;;
sgoldenlab;add files via;files via upload;;;
Platinumwrist;;;;;
love4say;;;;;
aturon;add final prelude;final prelude mp3;;;
HappyTreeBeard;convention use 2;use 2 digit;2 digit days;update file name;file name convention
creativetorch;;;;;
muppet9010;addremove groups with;groups with settings;with settings change;settings change default;change default settings
jbiakcin;added chess part_1;error handling funtime;added class inheritance;class inheritance folder;
jz0001;started rendering search;rendering search results;search results in;results in semantic;in semantic cards
David98vc;add files via;files via upload;;;
catamphetamine;added inputstylereset property;;;;
acsone-git-bot;is missing in;imp l10n_jp covering;l10n_jp covering new;covering new tax;new tax 10
jacquiemcb;;;;;
maryhugithub;refactor common variables;;;;
cfk-scraper;4 outages added;outages added with;added with 4;with 4 customers;4 customers affected
cmikstas;added handlebars pages;handlebars pages for;pages for required;for required webpages;required webpages added
nsm91;;;;;
Juniorrantila;;;;;
drMonro;;;;;
FlyOrBoom;change controls to;controls to pointerlock;fix errors removed;errors removed loading;removed loading card
SDESkowronski;qa scripts 25;scripts 25 the;25 the intention;the intention here;intention here is
xjx3316;set theme jekyllthemecayman;;;;
Fredo182;cleanup model constructors;model constructors and;constructors and fixed;and fixed typo;fixed typo in
mezum;;;;;
raulovallet;fix resolve test;fix expected indentation;expected indentation of;indentation of 16;of 16 spaces
rnburn;add bracket operator;bracket operator test;add test coverage;test coverage for;coverage for other
itzamnamx;adding a better;a better way;better way to;way to manage;to manage fineract
bergjohan;add debug output;debug output macros;;;
NurKeinNeid;this reverts commit;revert msm8998common overlay;enable burn in;burn in protection;msm8998common overlay set
RazielSystems;se ajustan valores;ajustan valores de;valores de los;de los catalogos;merge branch master
lboyd93;add info for;info for prospective;for prospective esri;prospective esri staff;esri staff contributors
laftho;subscription confirmation profile;confirmation profile active;profile active subscriptions;active subscriptions canncellation;subscriptions canncellation wip
Mohsenataei;exercise issue fixed;;;;
pakeji;commit january 01;january 01 2020;01 2020 004606;2020 004606 utc;01 2020 004608
bplok20010;;;;;
Jerry014a;learning modules and;modules and basics;and basics of;basics of node;
bensaufley;update codeclimate coverage;codeclimate coverage reporter;coverage reporter try;reporter try parallel;try parallel tests
MehdiLechhab;typos in protfolio;;;;
csotomon;;;;;
simerplaha;129 fixing 211;fixing 211 build;129 java slice;129 java set;129 name stream
LuisFrag;create boardexception and;boardexception and defensive;and defensive programing;;
wmay;add 2019 2nd;2019 2nd quarter;2nd quarter wfml;quarter wfml flags;wfml flags closes
915fonzie;added id to;id to search;to search method;search method in;method in nasa
Thomasdezeeuw;tests on windows;port tests for;is opened to;opened to investigate;to investigate why
simsland;;;;;
bcdevlucas;;;;;
97GHz;;;;;
james-cathcart;wip not receving;not receving token;receving token 401;token 401 response;
d3j331;fixed line ending;line ending fro;ending fro json;fro json file;
taichi-t;;;;;
Danver98;added request inquiry;checking request object;;;
y-yagi;from 121218 to;121218 to 1312;bump typesnode from;typesnode from 121218;to 1312 bumps
virtuald;black formatting changes;fix ntproperty with;ntproperty with nondefault;with nondefault instance;
mweedman;added login framework;;;;
christianadunn;changes to virtual;to virtual avail;;;
wadegguerin;merge pull request;pull request 1;request 1 from;1 from wadegguerinedithello;from wadegguerinedithello update
ilovegadd;added 組織タイプにprojectを追加 プロジェクトメンバーリポジトリを追加;組織タイプにprojectを追加 プロジェクトメンバーリポジトリを追加 changed;プロジェクトメンバーリポジトリを追加 changed ユーザーが閲覧権限を持つプロジェクトのみ検索できるように制限;merge branch release130;merge tag 120
philiplassen;latest updates to;updates to quicksort;;;
SharkFinPro;tab 2 spaces;update spacing single;spacing single tab;single tab double;tab double tab
phiggins;docs signedoffby pete;signedoffby pete higgins;pete higgins petepeterhigginsorg;for api docs;api docs signedoffby
david8388;;;;;
robertlong;dont use the;use the creator;the creator attribution;creator attribution if;attribution if the
CodyMathis123;;;;;
ardnew;rename version class;version class to;class to prevent;to prevent name;prevent name conflicts
matagus;;;;;
hououinkami;rename apiforhomeini to;apiforhomeini to apiforhomerini;;;
mariiapecherytsia1;reset and start;and start new;start new project;new project type;project type npm
ejelome;replace theme with;theme with homepage;with homepage added;homepage added sphinxpowered;added sphinxpowered technical
guthb;added observable for;observable for post;;;
WittyScrap;made some commands;some commands more;commands more userfriendly;;
woodstock-erfurt;;;;;
aseventhimpossiblething;;;;;
CreamyGlue;apples and oranges;and oranges java;oranges java explained;;
henryhu712;;;;;
linzebing;;;;;
signcla-test-signed-indiv;new pr to;pr to test;to test signcla;test signcla at;signcla at 20191231
quantum9Innovation;i knew you;knew you wouldnt;you wouldnt believe;wouldnt believe it;believe it the
laurenfrederick;automated build in;build in bamboo;in bamboo ci;;
damienliccia;ajout réseaux sociaux;;;;
JackHowa;merge pull request;basic webpack react;webpack react babel;react babel setup;build for webpack
TheHappyKoala;;;;;
jangruenwaldt;;;;;
dcep93;;;;;
soonick;finish article about;article about postgresql;about postgresql user;postgresql user management;
bge-kernel-panic;element properties subroutine;element update fix;map doc and;doc and variables;direction offsets and
sarkiroka;update with actual;with actual data;;;
mlwong;;;;;
DreamLi1314;;;;;
ken2057;;;;;
profounddark;updated assignment expanded;assignment expanded dom;expanded dom manipulation;dom manipulation updated;manipulation updated assignment
weich97;finish running cases;running cases using;cases using limiters;using limiters for;limiters for the
sbxlmdsl;words in sbjm;in sbjm this;sbjm this reverts;this reverts commit;revert corrected a
anonoymousm;site updated 20200101;updated 20200101 084616;;;
brandon242400;from 412 to;412 to 453;bump handlebars from;handlebars from 412;to 453 bumps
akaban01;;;;;
ajaxx;cleaning up tests;up tests fixing;tests fixing a;fixing a few;a few remaining
jacobatwork;;;;;
gecko-dev-updater;ultrablame original commit;ablockingfirefox3 ultrablame original;ablocking19 ultrablame original;rmano ablockingfirefox3 ultrablame;reftests for bug
dhon2407;cooking checkpoint 4;checkpoint 4 refactoring;4 refactoring and;refactoring and improvements;
wingtorres;update paper figures;;;;
TumsaUmata;;;;;
brminnick;added javascript config;updated signalrservicesubscribe logic;;;
cgschu1tz;plugins were a;were a giant;a giant waste;giant waste of;waste of time
jackzhang7;edited introductory post;added new post;introductory post and;post and added;and added new
AngelFQC;lti allow multiple;allow multiple lineitems;multiple lineitems for;lineitems for tool;for tool link
gilbert-p;add files via;files via upload;via upload implemented;upload implemented quicksort;implemented quicksort it
HenrikBechmann;parameterize configuration data;;;;
ethanrusz;added alt tags;merge pull request;pull request 26;request 26 from;26 from ethanruszalttags
colinking;remove dependency on;dependency on aws;on aws dockerhub;;
hugocas;;;;;
yeG10;;;;;
Beanow;publishing to ghpages;to ghpages wed;ghpages wed jan;wed jan 1;jan 1 004641
dan0x09;update adapters to;adapters to use;to use native;use native class;native class syntax
pxpeterxu;add mocks for;mocks for requestpromisenative;for requestpromisenative by;requestpromisenative by default;
jeffkowalski;add rubocopyml and;rubocopyml and address;and address rubocop;address rubocop issues;add dry_run option
zhangwenjie-tina;;;;;
gentoo-repo-qa-bot;appbackupamanda disable sandboxviolating;disable sandboxviolating configure;sandboxviolating configure test;configure test closes;test closes httpsbugsgentooorg701416
adityamaddala;set up ci;up ci with;ci with azure;with azure pipelines;azure pipelines skip
gsalaz98;add test cases;test cases for;cases for null;for null lastupdatetime;null lastupdatetime and
omegga;add tests for;tests for converters;merge pull request;pull request 17;request 17 from
JuliaManayra;;;;;
fbtwitter;;;;;
clangen;allow for transcoder;for transcoder format;transcoder format selection;format selection in;selection in musikdroid
TheUncleKai;feat create framework;create framework add;bytes issue 1;stuff issue 1;create framework remove
atav1k;add twitter meta;twitter meta 5;meta 5 add;5 add twitter;twitter meta add
jofsky;updating files for;files for working;for working version;working version merging;version merging with
wang1kevin1;color changes working;colors and icons;and icons updated;roundtrip distance passed;distance passed as
m365462129;;;;;
MilkyVishra;;;;;
psandra1997;;;;;
jimmyangel;add to menu;include svg file;add processed images;;
zw;;;;;
PDanielY;added login capability;login capability added;capability added the;added the option;the option to
YehonatanHen;merge pull request;from yehonatanhenyonatan yonatan;pull request 13;request 13 from;13 from yehonatanhenyonatan
marcel-goldschen-ohm;create a visual;a visual intro;visual intro to;intro to numpy;to numpy and
dominicskinner;merge pull request;pull request 24;request 24 from;24 from dominicskinnermaster;from dominicskinnermaster update
szul;;;;;
randomjamart;;;;;
maelle;deploy from travis;from travis build;travis build 9319;build 9319 ci;9319 ci skip
jgallagher59701;edit to the;to the drmpp_moduletestsmakefileam;;;
DentonWarnock;fixes to context;to context consuming;;;
idvorkin;updating weight for;weight for end;for end of;end of 2019;
ChaimSh;automatically backed up;backed up by;up by learn;;
bmwiedemann;update 000releasepackages to;000releasepackages to rev;to rev 377;rev 377 httpsbuildopensuseorgpackagerdiffopensusefactory000releasepackageslinkrevbaserev377;377 httpsbuildopensuseorgpackagerdiffopensusefactory000releasepackageslinkrevbaserev377 by
leo60228;;;;;
hhao1992;;;;;
robertdavidwest;css class name;class name change;name change p;change p para;
jeffpooley;upload new shortcut;fix zenodo link;fix punctuation mistake;;
mzuniga58;fixed errors for;errors for net;for net framework;net framework support;
OPSTestProduction;create a file;file e2e_docsbranch_prod_dynamicindexmd at;e2e_docsbranch_prod_dynamicindexmd at 20200101;file e2e_docsbranch_prod_dynamicindexyml at;e2e_docsbranch_prod_dynamicindexyml at 20200101
v-caxian;;;;;
fargusplumdoodle;log_analytics retrieves information;retrieves information on;information on each;on each client;each client and
cjgillot;remove fatal calls;matchexpressionarmpattern use more;use more generic;more generic wording;generic wording the
LeoCode0;cambio de nombre;añadiendo direcciones a;direcciones a repositorio;a repositorio y;repositorio y ghpages
Rbon;removed an unneeded;an unneeded import;better type sig;removed another unneeded;another unneeded import
bob-beck;when all cells;all cells in;cells in a;in a tbl1;a tbl1 column
kaihwang;;;;;
mxmingya;;;;;
johangace;update the book;the book challenge;book challenge for;challenge for 2019;
happybean;add entry point;;;;
Spacebird1313;update target broker;target broker ip;broker ip address;;
china0532;;;;;
manuelespinosa;;;;;
haipe;;;;;
Jack-alope;add files via;files via upload;;;
dladowitz;;;;;
KaptainWutax;improved structure data;structure data logic;;;
SDGGiesbrecht;;;;;
khandgp1;first iteration of;iteration of the;of the backend;;
gabesharpton;changed dev icon;good responsive for;responsive for larger;for larger screens;
ieuanjones;add support for;support for angled;for angled labels;minor fix to;fix to height
bcraig2612;finished section 6;updated the course;the course folder;course folder structure;
geekwise-korey-nichols;bugfix changed max;changed max length;max length for;length for location_name;for location_name and
yfhuang7;;;;;
getsec;shit wrong branch;;;;
hww1996;bug fixed bug;fixed bug fixed;添加新的member change的方法 43;change的方法 43 修复使用旧conf的bug;43 修复使用旧conf的bug bug
kylebjordahl;fix remove old;remove old import;;;
dclong;;;;;
SHRUTIKALOKHANDE;print the element;the element of;element of list;;
wpruiz;npm start listo;;;;
